"Sample_Number","Tr","Time","X.Pyruvic.acid..1TMS.","X.Lactic.Acid..2TMS.","X.Valine..1TMS.","X.Alanine..2TMS.","X.Leucine..1TMS.","X.Valine..2TMS.","X.Leucine..2TMS.","X.Threonine..2TMS.","X.Proline..2TMS.","X.Succinic.acid..2TMS.","X.Glycine..3TMS.","X.Fumaric.acid..2TMS.","X.Serine..3TMS.","X.Methionine..1TMS.","X.Aspartic.acid..2TMS.","X.Glutamine...H2O...2TMS.","X.Malic.acid..3TMS.","X.Aspartic.acid..3TMS.","X.Methionine..2TMS.","X.Glutamic.acid..2TMS.","X.2.Oxoglutaric.acid..1MEOX...2TMS..BP","X.Threonic.acid..4TMS.","X.2.Oxoglutaric.acid..1MEOX...2TMS..MP","X.Glutamic.acid..3TMS.","X.Phenylalanine..2TMS.","X.Asparagine..3TMS.","X.Putrescine..4TMS.","X.Glutamine..3TMS.","X.Ornithine..4TMS.","X.Citric.acid..4TMS.","X.Fructose..1MEOX...5TMS..MP","X.Fructose..1MEOX...5TMS..BP","X.Glucose..1MEOX...5TMS..MP","X.Galactose..1MEOX...5TMS..MP","X.Lysine..4TMS.","X.Galactose..1MEOX...5TMS..BP","X.Tyrosine..3TMS.","X.Glucose..1MEOX...5TMS..BP","X.Gluconic.acid..6TMS.","X.myo.Inositol..6TMS.","X.Sucrose..8TMS.","X.Trehalose..8TMS.","X.Maltose..1MEOX...8TMS..MP","X.Melibiose..1MEOX...8TMS..BP","X.Galactinol..9TMS."
"1","C","2",0.0947190779573008,0.0571594066439345,0.100594456402231,0.00103066960811641,0.0710578558982319,0.012240034686135,0.209642397601566,0.13198986574058,0.0315548934859218,0.0227950252563177,0.0762260979890348,0.00786157612710375,0.212254509723132,0.0564921751388773,0.0224802879235939,0.191575491114214,0.0234120933242049,0.11650888686144,0.123557396649434,0.0603953733374858,0.01161167374183,0.022717802068607,0.00303095029683571,0.316117969674638,0.242947066690401,0.118791764743668,0.690496382836988,0.449116312247829,0.0576725419437204,0.00124264243471176,0.00215820318563018,0.00203982567646281,0.00932673348164969,0.00952104781323397,0.212055363298795,0.00995086622923526,0.109595369861794,0.0188717323354605,0.000341553385026793,0.0100740087815122,0.00219741780153811,0.00872274991394253,0.0199311217469093,0.0926584932732177,0.0161828585888465
"10","P","2",0.599547791318104,0.455925275004901,0.150925701712264,0.00840313991214262,0.22053529487785,0.00635919429474713,0.251501162957219,0.551925894172687,0.132393615234439,0.130927782148267,0.203038398822352,0.0234470958247932,0.0146260350346428,0.337347376697453,0.0590337437184353,0.083188966749548,0.00316318695837417,0.0317229200837706,0.00637086913833277,0.398205639879546,0.224510128239099,0.136290093974851,0.0029020220871223,0.0130528121012894,0.128212551009521,0.12244684876079,0.192974216570505,0.071788810358504,0.365325039056574,0.0197297950105007,0.0083935600435256,0.00771156419596623,0.0269596853544288,0.0253067776829459,0.550564642720548,0.0247044978907179,0.0706337806726511,0.1465252111647,0.00221650946890958,0.102616284470809,0.0112780389659514,0.075600350231437,0.136387651271761,0.0511211718217478,0.0303424329704152
"11","F","2",0.333531063032388,0.3960813333714,0.174888983077011,0.00249281159100238,0.188194851660827,0.01704427854757,0.104104833544227,0.337249868562052,0.0542312740491693,0.257326107306084,0.178404975458802,0.0587204834586886,0.140240182940412,0.290571605819559,0.0361294928691465,0.0543721591240473,0.0332986043206083,0.0634825405164105,0.0884782991356535,0.253674373013955,0.107143098415043,0.232219089647855,0.0773763530470003,0.0435473037160556,0.140257067244049,0.161747366711476,0.122531506357836,0.067449316379188,0.23134472475375,0.362132221624627,0.047385014076246,0.0447769240917617,0.0324619606317946,0.0304882956089456,0.19410718917125,0.0318881426840994,0.0648868505053158,0.0976462205107074,0.129221145758802,0.180411433643429,0.0098005206877375,0.0569086418001026,0.672879160008723,0.555510816801863,0.376578166000318
"12","F","2",0.273914772993093,0.248511884259469,0.085264036070671,0.00250010209070213,0.0883179663257937,0.0269997141896048,0.119906115640723,0.442693298089566,0.0475513897030643,0.686761624460885,0.158320837505579,0.146673789696116,0.0044910242503162,0.358150543644997,0.0810070769794842,0.036972927529059,0.420423808473276,0.0376866191854342,0.0380852526927805,0.16318342398323,0.210861557352945,1,0.231345586503469,0.0627126060086684,0.0766799671949002,0.680457831117489,0.0709400137734791,0.112097085711645,0.240930841686636,0.450249453356455,0.310990779706574,0.311888743922487,0.0458767733241113,0.0408004681014741,0.33454080915368,0.039165548025997,0.0980644517668108,0.17487469792857,0.472810439656714,0.418077929121296,0.00594593502179023,0.0629166607751499,0.864814653408471,0.760041033365691,0.628273834887782
"13","F","2",0.177061696755645,0.352597179568746,0.159949610527729,0.00507517725147831,0.0962869466230774,0.0059460126124152,0.197399126809504,0.360323172304494,0.0904636267703964,0.135349694673112,0.230836301076592,0.0348297408710989,0.0851972746135168,0.663452219887956,0.0474574964327813,0.0920890994097784,0.00349977664703364,0.0694894998022484,0.15716855545066,0.259704528094442,0.140668975890963,0.853341403420521,0.000324369411475253,0.0478546199708328,0.135468331728206,0.819244624994354,1,0.0550245710758683,0.430839777185649,0.0117959833061156,0.149384851266073,0.141783919170506,0.219498891996919,0.22008007787268,0.339890474027779,0.229791643946324,0.0708470362278697,0.768529367735102,0.0412665334104512,0.548937049844317,0.00986180431681016,0.299107882658763,0.415157326702788,0.657374196873989,0.189689732893743
"14","F","2",0.543026384639449,0.314234839083185,0.189276216765537,0.00423233828456704,0.150609062563209,0.0130508188412719,0.165162121903543,0.471715045533431,0.0476721193357373,0.349459525392694,0.295192573492234,0.0223826549198683,0.285185139218052,0.388095434830668,0.0415921485376326,0.100872864275143,0.00270103988836301,0.082777000302801,0.062049457502614,0.173206017926491,0.120391371277862,0.340816033129939,0.0583570507975696,0.0680159421467993,0.24823336442618,0.149868090485726,0.139403540918534,0.0193071132596583,0.359009587759617,0.231884061928091,0.135967684788839,0.128660080243654,0.12052214986983,0.121238666994269,0.439872797978482,0.110974240964603,0.0906595632286335,0.367509414442023,0.00970489015743438,0.295519227169051,0.0443784822517055,0.0590962008759939,0.316576811286118,0.146872489872122,0.119268902717131
"15","F","2",0.470101983423725,0.606602805137183,1,0.126015688048584,0.717995019702941,0.26998311154608,0.309940326745408,1,0.462541111796985,1,0.857140936474129,1,0.629134625536652,0.738946523002176,1,0.286550328010929,1,1,0.301857235537676,1,1,0.568895324007418,1,1,0.783797297826269,1,0.4047464883057,0.287162117421531,0.314509823845143,0.789473620107268,0.689401364174527,0.728186272586514,0.589455744302101,0.58319901966974,0.654590050388911,0.609596157393365,1,0.462339537638047,1,0.600044140530546,0.0191322431590968,0.15177845000735,0.87735902981703,0.36817280874665,1
"17","M","2",0.430094908914047,0.248468391815818,0.182213652051546,0.00286453277572476,0.195753387284778,0.0290976355848861,0.186257533490971,0.362527517495979,0.0631518390409283,0.0899062145305311,0.298515284033012,0.0212166344851272,0.286474669206853,0.239545681031823,0.0257702915841656,0.0464656096915422,0.00114053712325134,0.0456934825881325,0.0879598819499598,0.163993299373975,0.0256297494091152,0.109465196381285,0.00102384214132062,0.0241017378915418,0.232541023705159,0.0796216565745654,0.311994272631219,0.012578449296133,0.239898092694303,0.0064467843557255,0.0155636284134455,0.0136231725931741,0.0180280302324255,0.0162621232831314,0.261872034008529,0.0152580052983216,0.0554371819955741,0.0975671753512058,0.00207501278539989,0.267153954624042,0.0112895432066821,0.0361990951761343,0.105387195410471,0.199704856619915,0.0591910799460241
"18","M","2",0.350237433104417,0.55126706915208,0.236272738138969,0.0347183284015462,0.102224586190185,0.0283848964982693,0.363243669714793,0.57349119299103,0.131171112796639,0.21035668017597,0.459710853131605,0.0519229524449976,0.0111551493192853,0.382148872100094,0.0604907604551303,0.0626387967278243,0.0216535760647344,0.0410035857871861,0.0358438860233372,0.341695792078323,0.0661864412915595,0.0964904412006937,0.00175528794182145,0.0142941985037537,0.115464231934328,0.105327965614099,0.167077594065041,0.00779820801946949,0.542592058860226,0.0163461760654637,0.00774739571998544,0.00740293973217947,0.0272049611027345,0.0261209049751054,0.444704063626498,0.0242212799623856,0.052996347399378,0.113339896115597,0.0044247528163259,0.0235497326044924,0.0170369418364378,0.0869451613009254,0.117798397179433,0.167897711886029,0.0281843956695921
"19","M","2",0.569615683255081,0.53940298208675,0.247177772884957,0.0134487990657661,0.273594645123023,0.0244219683685261,0.335638281491756,0.512317508664711,0.165912294345997,0.154676882315441,0.376290436130384,0.0272045167997907,0.0112997151620113,0.380258793970451,0.158642709116935,0.175719950515901,0.00656682255820408,0.0703266725679693,0.0385047513555076,0.467539694139963,0.0540897681100977,0.138029894993964,0.00179159132612049,0.0395628820971608,0.162631102988387,0.155947289441991,0.613259806330649,0.0852839705855423,0.695123008029504,0.027319084509657,0.0243758796624005,0.0219961546130999,0.0312581668153332,0.0294188006024898,0.324101017002165,0.0263296213698622,0.0974506365639365,0.328480857441209,0.00465950332230142,0.182573603663812,0.019200021959597,0.0829607929780207,0.16397618502944,0.203662105531283,0.0365238525969785
