"Sample_Number","Tr","Time","X.Pyruvic.acid..1TMS.","X.Lactic.Acid..2TMS.","X.Valine..1TMS.","X.Alanine..2TMS.","X.Leucine..2TMS.","X.Threonine..2TMS.","X.Proline..2TMS.","X.Succinic.acid..2TMS.","X.Glycine..3TMS.","X.Fumaric.acid..2TMS.","X.Serine..3TMS.","X.Methionine..1TMS.","X.Aspartic.acid..2TMS.","X.Glutamine...H2O...2TMS.","X.Malic.acid..3TMS.","X.Glutamic.acid..2TMS.","X.2.Oxoglutaric.acid..1MEOX...2TMS..BP","X.Threonic.acid..4TMS.","X.Phenylalanine..2TMS.","X.Asparagine..3TMS.","X.Putrescine..4TMS.","X.Ornithine..4TMS.","X.Citric.acid..4TMS.","X.Fructose..1MEOX...5TMS..MP","X.Galactose..1MEOX...5TMS..MP","X.Lysine..4TMS.","X.Tyrosine..3TMS.","X.Glucose..1MEOX...5TMS..BP","X.Gluconic.acid..6TMS.","X.myo.Inositol..6TMS.","X.Sucrose..8TMS.","X.Trehalose..8TMS.","X.Maltose..1MEOX...8TMS..MP","X.Melibiose..1MEOX...8TMS..BP","X.Galactinol..9TMS."
"1","C","2",0.0852427618953043,0.0491086159453697,0.144247254226111,0.00156387468512023,0.0969195155609919,0.114417943009636,0.0249713509140996,0.0307622862247677,0.0921497844770052,0.0112159607797329,0.157802030306983,0.0881928301316165,0.0291121959445852,0.18296916860963,0.0222622288951474,0.0854841395119741,0.0214388012509599,0.0269538062183476,0.313879142914425,0.127987702683088,0.716001709795976,0.0606122520929027,0.00127543991687592,0.00231670735514318,0.0131799201233242,0.187392803102766,0.160415647073713,0.0179226362289103,0.000553369480019701,0.00979403686950448,0.00227536946832202,0.0156342033278906,0.0269636242551219,0.0934507392877555,0.0228602602573757
"10","P","2",0.558049295776896,0.401992062922632,0.272605500596474,0.00996339098511001,0.231413354757639,0.626910179644745,0.107592618770295,0.185810041939907,0.255849659585538,0.0341216266418233,0.0145034025316524,0.403424777505604,0.10330792677901,0.0825023555258835,0.00319902832564945,0.594910124514472,0.353585815982808,0.163113268508648,0.213984710586636,0.226050902387957,0.207828102040725,0.365191544957177,0.0199117287914997,0.00989315206047745,0.0360923238065837,0.61929832268557,0.106044575845937,0.148047848065825,0.00355768072921251,0.106205459254044,0.0121019870362957,0.154295665039775,0.151287255561804,0.057036584171195,0.0478487164213644
"11","F","2",0.271470116507799,0.356765840737987,0.205034099249476,0.00213983687763626,0.0846059657773675,0.254182381509412,0.0368077971157486,0.268940116332505,0.182157998765322,0.0646414919850574,0.0755024995899356,0.286802892941162,0.0504986015446409,0.0521624839927805,0.0241034666394585,0.279001292443346,0.123947547250841,0.204454572859364,0.154650938950605,0.171159889383963,0.0933943620728855,0.231727359936942,0.362517221914311,0.0380264536803579,0.0316679538540074,0.140984987565671,0.0714762065953655,0.073421141168171,0.138730344716694,0.142393590131508,0.00774147787102517,0.0866019307186671,0.550350465702039,0.399496403367362,0.443702741931321
"12","F","2",0.174048456280181,0.150637708780394,0.168133740485911,0.0019500107486007,0.0732974469159246,0.272247291087062,0.02851324369978,0.690057510875494,0.162805633139664,0.149226846610696,0.00245382827212767,0.312507345584072,0.0880134714968091,0.030349284348551,0.328969793331912,0.181515847808424,0.227229848841728,0.821724535438587,0.0865674826689277,0.559281492779893,0.0530181979800972,0.224824635880425,0.451616764075832,0.232084023908339,0.0408145307621068,0.230225297172164,0.10521095544411,0.118800769171179,0.477797333034213,0.334340715714523,0.00436190495849346,0.0736136254724516,0.669831464265343,0.51560813751573,0.659690522419824
"13","F","2",0.155696929002157,0.295965014552056,0.2388151536023,0.00782318072170605,0.183581279325505,0.348798616351298,0.0782359297041646,0.188675560676902,0.285186917899191,0.0498300082964822,0.0625264071751069,0.784442961366626,0.0910973614250409,0.120192992594672,0.00336522819761081,0.435487988654444,0.232996019221122,1,0.253746475207758,1,1,0.394267190639681,0.0137088098045528,0.155448886277732,0.297672852947976,0.467196423110613,0.0997981471646674,0.773563310048874,0.0694693841443122,0.602387304286325,0.0103495046153393,0.440160863125832,0.363900151732481,0.639278633280443,0.285538921060348
"14","F","2",0.612160030984713,0.321783123252797,0.275778354706907,0.00454763735182056,0.162713524609177,0.456059809614154,0.042565802836691,0.452657398266378,0.376099031200363,0.0295976915561443,0.194636294898785,0.385008065920731,0.0672137831501873,0.15335701893965,0.00240567381400736,0.252309310372362,0.174701104647292,0.376093551646304,0.318908543139926,0.201550701661411,0.141328929312253,0.345187408668638,0.233124096029232,0.132594445526211,0.147898397775189,0.396872475365554,0.125339447830708,0.347156299338392,0.0170203695045722,0.281539243735855,0.0434549945851456,0.0926796056082864,0.332668581050125,0.132744046364777,0.177305373010092
"15","F","2",0.347449475073387,0.47076444282949,1,0.0943162335824804,0.206185265906877,0.575146815681024,0.292803835036487,1,0.790570185292342,1,0.319283504191564,0.630044384499921,1,0.248087534291013,1,1,1,0.457492259830424,0.771893396751947,0.867226988703674,0.280327042592938,0.321176530711377,0.79427234611017,0.528980341674321,0.527687768289206,0.488096891044423,1,0.306151385924025,1,0.466075409460411,0.0136864091866343,0.161069480225658,0.662809856737815,0.251986949801008,1
"17","M","2",0.47051188465506,0.253551487152177,0.281838162415673,0.00539475277336392,0.159145709976206,0.341368094026346,0.0675601257052678,0.125373999153876,0.380728252640572,0.0301461396436146,0.213663407367584,0.311308039226612,0.0545974622419994,0.0654683418655582,0.00114699748540625,0.26132434886383,0.0463351513288228,0.128739616666899,0.322027000010055,0.152071832428722,0.329676560555247,0.244888017045116,0.00659168795443355,0.0170575416873127,0.023776575919834,0.258631172837826,0.0815173974918073,0.100312533181163,0.00317294464887525,0.279993409730345,0.0117104443521322,0.0655083027846582,0.124610054204916,0.242824278244687,0.0873784765351039
"18","M","2",0.386763563047942,0.574945595107485,0.399845834385198,0.0376668073160104,0.286078356291511,0.653535389352821,0.119542990480244,0.303035349443005,0.598644328828075,0.0768274899166989,0.0139212665208547,0.52847190548506,0.109851760879343,0.0731415140180025,0.0216138294726756,0.51674390636771,0.114171769726467,0.115041884937751,0.22373801671379,0.19524463653824,0.185600787188323,0.51821969267278,0.0164853412469751,0.00895254286589501,0.0367493352805452,0.524537476208298,0.0817856615051353,0.119549760574988,0.0076846624309216,0.0244654804548125,0.0180149823907726,0.148374032025298,0.161220079278163,0.180195050910695,0.0451902549702091
"19","M","2",0.494463124937317,0.443906923330078,0.384249650954539,0.0232085115183921,0.265534244903563,0.527179820560033,0.156317878714704,0.215288576680793,0.461240052446945,0.0389045927198632,0.0109204281911263,0.506775592126207,0.260215941302259,0.264356516311159,0.00641110527594121,0.678178090177145,0.0964405916461661,0.162609442524561,0.269506216503648,0.2660048881284,0.621649175799435,0.670058453141322,0.0287865536199075,0.026116568429482,0.0409380239460429,0.342841083486319,0.142352109909448,0.323559820703484,0.00768488411207564,0.180765540588218,0.0199995447955141,0.143488559074045,0.212054168087323,0.210441467752925,0.0564547864399842
