"Sample_Number","Tr","Time","X.Pyruvic.acid..1TMS.","X.Lactic.Acid..2TMS.","X.Valine..1TMS.","X.Alanine..2TMS.","X.Leucine..1TMS.","X.Valine..2TMS.","X.Leucine..2TMS.","X.Threonine..2TMS.","X.Proline..2TMS.","X.Succinic.acid..2TMS.","X.Glycine..3TMS.","X.Fumaric.acid..2TMS.","X.Serine..3TMS.","X.Methionine..1TMS.","X.Aspartic.acid..2TMS.","X.Glutamine...H2O...2TMS.","X.Malic.acid..3TMS.","X.Aspartic.acid..3TMS.","X.Methionine..2TMS.","X.Glutamic.acid..2TMS.","X.2.Oxoglutaric.acid..1MEOX...2TMS..BP","X.Threonic.acid..4TMS.","X.2.Oxoglutaric.acid..1MEOX...2TMS..MP","X.Glutamic.acid..3TMS.","X.Phenylalanine..2TMS.","X.Asparagine..3TMS.","X.Putrescine..4TMS.","X.Glutamine..3TMS.","X.Ornithine..4TMS.","X.Citric.acid..4TMS.","X.Fructose..1MEOX...5TMS..MP","X.Fructose..1MEOX...5TMS..BP","X.Glucose..1MEOX...5TMS..MP","X.Galactose..1MEOX...5TMS..MP","X.Lysine..4TMS.","X.Galactose..1MEOX...5TMS..BP","X.Tyrosine..3TMS.","X.Glucose..1MEOX...5TMS..BP","X.Gluconic.acid..6TMS.","X.myo.Inositol..6TMS.","X.Sucrose..8TMS.","X.Trehalose..8TMS.","X.Maltose..1MEOX...8TMS..MP","X.Melibiose..1MEOX...8TMS..BP","X.Galactinol..9TMS."
"1","C","2",0.0942452386103746,0.0273482393134858,0.25094268611426,6.65894410649164e-05,0.161045429749554,0.0301009084119106,0.360783144268475,0.168820776399009,0.0366954632708888,0.0476370851521953,0.110230484555761,0.0154800218037568,0.449882947220369,0.0740382384167151,0.059085023149655,1,0.0500189857516304,0.229414617914507,0.226741071671977,0.113381778860606,0.0244228576842712,0.0344599369713716,0.0068058505638336,0.765101300752128,0.433041615914527,0.171332205054826,1,1,0.0721989894595352,0.00171568281349824,0.00391232971319709,0.00356279494425649,0.0131375702664892,0.0134237606007177,0.301166732299108,0.0130415274535915,0.198518063131367,0.0176394728393307,0.00040719492767323,0.00967107910184385,0.00308851453487187,0.00974358867379879,0.00926988065047828,0.16477146560399,0.0256856411844427
"10","P","2",0.349262222842514,0.000752324393334633,0.102681903895217,0.0149106103654005,0.137741787368118,0.0367746612204957,0.410078987279505,0.487665980235854,0.392101671831872,0.143450943887922,0.126597755140309,0.0507898574807711,0.014476042499429,0.256558227891755,0.0590252010064434,0.168447782828391,0.0273869531274292,0.0312952792775984,0.00938633765872534,0.391054556731618,0.259845361617951,0.15584884244076,0.00267989457748508,0.015498654603528,0.0975835408142685,0.173524750200779,0.392026862292444,0.0642101232080127,0.294745187242447,0.0178340921217736,0.00306977232250145,0.00274643200624123,0.0257737636827628,0.0249403481137759,0.369177980725327,0.0233038893291211,0.0579276848827199,0.134020261853864,0.000606592330493051,0.0690775430858461,0.00647125983532177,0.0720114636481264,0.059312059538328,0.0534800437809608,0.0391713436684728
"11","F","2",0.127378408434035,0.0558198521388486,0.0813836350624719,0.00403312556773011,0.06665422102288,0.00327774349958844,0.0133699342141127,0.27859045185685,0.024237150964589,0.495769147250966,0.0938828891989731,0.100711215133922,0.0642869124750965,0.286123492269269,0.0180159835451626,0.0193023177895023,0.398148418589584,0.0597113143485891,0.0294745207418269,0.277120624892783,0.545950753637923,0.957321988237175,0.457257004519014,0.023489994914844,0.0480427678956272,0.0679021492522588,0.0863026750246363,0.00953815931675542,0.217437889186069,0.842167926942042,0.279579072091999,0.256090338380331,0.112122408049483,0.10566026274526,0.0779317353776199,0.100117407450136,0.0478959974556715,0.132063406067542,1,0.460792537304451,0.0362831044776496,0.0747814456456034,1,0.529952850352761,1
"12","F","2",0.0105990629760734,0.0330051262296018,0.00375512520395096,1.65411936468939e-06,0.00348971961100003,0.000790666044357015,0.00714886996779466,0.0608476935062676,0.00121215605836954,0.443606608047717,0.0100727589116097,0.216544028517335,6.73593680582967e-05,0.070416129040323,0.00405048810136092,0.00943756057139916,0.351752566015361,0.000949388147159954,0.00213004786752329,0.0321352634364169,0.16854735564023,0.351101877947896,0.0739911298985544,0.00377843459031377,0.00113330362909606,0.0601293164012464,0.00241222125237426,0.00326078543465661,0.0175047816573553,0.278418796754645,0.148361220845616,0.127769938100701,0.0105444956156263,0.0092600701555311,0.00985526937842449,0.00572811600228511,0.0027397951508523,0.0237207551063039,0.219011067194602,0.303437950974039,0.00143928923792528,0.00635768091553004,0.118560674223982,0.142655651480574,0.126569216201547
"13","F","2",0.0272977706232076,0.061048895141549,0.0316222370372095,8.90639468006645e-06,0.0140029716231029,0.000431710511455004,0.0220777778502777,0.21677048896094,0.00620835590026647,0.22268909004847,0.052377743554804,0.06703610165095,0.00404697355621012,0.436880857789854,0.0108620481557875,0.0365925077162906,0.0108043413203874,0.00594037104397887,0.0240512455229048,0.177884559513388,0.361286245654219,1,0.000374069065484154,0.0127867662794415,0.00680823932007762,0.268637067047979,0.120751418993221,0.00455122725882342,0.101581645088609,0.01874478314766,0.248676465185298,0.205167233963671,0.179452115238602,0.178058861000085,0.0328153144184065,0.118834090318336,0.00697471654630403,0.334334309159259,0.0644510516588264,1,0.00870399988743082,0.0989584831020046,0.179551325830978,0.309996899526246,0.126350545647578
"14","F","2",0.0404944078752379,0.0509735328418977,0.0143211201134363,0.00788167884572761,0.012312463076766,0.00183754439439628,0.0202265225248336,0.09108905940784,0.0119277422216513,0.371528306231649,0.0392406278690562,0.014991884245167,0.0209663819111421,0.129629617380814,0.00343652106467417,0.0364969669654846,0.00563538822132233,0.00836634537671352,0.0101330168952036,0.0588654869134748,0.205790252265594,0.337978017373298,0.0530624227280994,0.00672679495759274,0.0129173189919092,0.0192040656849363,0.0144376035896468,0.00123028342409774,0.0828284574577198,0.300879183301133,0.170366502932593,0.141876726364568,0.075570185936304,0.0751614029204852,0.0411133614380032,0.0504681850281016,0.00840775935445303,0.141810868568401,0.0144527544693026,0.439230074384895,0.028055572448214,0.0185741457969749,0.135140085398654,0.0882321554002472,0.0733629523119735
"15","F","2",0.272934185287822,0.307061030331513,0.899351473784857,0.0041347442381678,0.720769076211616,0.218560861907146,0.2177179245389,0.649566208908288,0.193168821974316,1,0.564657167345517,1,0.480636391782486,0.491834318928671,1,0.587356529464127,1,1,0.214585646604946,0.839132946822325,1,0.38636005872811,1,1,0.559338616801677,0.762135029365026,0.266424435559862,0.295645616097786,0.18828851223701,0.51297359739817,0.572374544722773,0.587434957988802,0.37731676161103,0.372535731366726,0.414530721770506,0.405740110976589,0.780815590696745,0.199046104762422,0.605454793673215,0.292545836864104,0.0122605643960088,0.0824138921320302,0.189097483364224,0.224724481544024,0.713009374826454
"17","M","2",0.0189392091992242,0.0278918331288976,0.00932827051801191,1.95921556672105e-06,0.00867108017815268,0.000871577303994418,0.0105804786565957,0.0578887521634375,0.00167545648736031,0.0603612215211112,0.0211642300369944,0.026475374295486,0.00464545552036956,0.0519927856763896,0.00150329019391756,0.0106804222459864,0.00106800548251458,0.00126326724505933,0.00516872971554562,0.0359079878726089,0.0223599797139707,0.0421515381866724,0.000364481378404051,0.00168597057046382,0.00377658764896377,0.00794108042845829,0.0117679005471957,0.000388889481601141,0.0189901407049723,0.00413966780244936,0.00821936322121824,0.0061911153035282,0.00460215333941894,0.00410090815442891,0.00842193996685872,0.00247289624400265,0.00171435983334943,0.0143977322382778,0.00105513576652345,0.200241646917132,0.00305047828281233,0.00399316097242849,0.0156529330839041,0.0385601804640134,0.0130448751266927
"18","M","2",0.0290102058733873,0.00051236057656966,0.0201070934500935,0.0465678759976774,0.00913815787285624,0.00364122396121796,0.0349876285120416,0.11888023775036,0.0366656306608289,0.206538055606465,0.0660806542882585,0.0331968184073833,0.00100836852006515,0.13069240271968,0.00560215677101136,0.0171856977019802,0.0515278232197247,0.00512864144419628,0.00572455058720631,0.120693532181032,0.117298583843229,0.106131241944991,0.00185933596925196,0.00156882123927082,0.00713990823200632,0.0139753949653255,0.0203509456931148,0.00048712659618443,0.139747715692612,0.0197261837181183,0.0108787419057461,0.00926449184327633,0.0195008627326141,0.0185419058564348,0.0467234040970553,0.0129943997429737,0.00589818589529524,0.0473729051116755,0.00758548651696031,0.0321641868731024,0.0123494096768083,0.0305601875135767,0.0547872419368651,0.0929817648656269,0.0194392502306599
"19","M","2",0.549422956949795,0.24426762849353,0.536236061191179,0.000799262696066297,0.569673324843473,0.045579957001721,0.485530636284224,0.602760314300873,0.153149314876349,0.301083147073384,0.488311058036945,0.0492746074816106,0.0190149783409433,0.458423731417668,0.357618732345253,0.773871251112543,0.0128747822005371,0.127380301808283,0.059016956857807,0.796658625089601,0.104484322644532,0.190078855157505,0.00364596872515292,0.0800343568492543,0.244289913997089,0.205023654906301,0.801620537174402,0.174609131556442,0.793211118493951,0.0342739741954367,0.0399815518825657,0.0348366044961888,0.0398248945604929,0.0375101077076628,0.411108282381496,0.0317418677647967,0.155493097081967,0.277715352330974,0.00510979349195247,0.161224364762567,0.0244214709802027,0.0846680445585255,0.0693300814776543,0.309797175181493,0.0523563086844566
"2","C","2",0.149780708106002,0.332137228532605,0.0763695122730071,7.45231900594547e-05,0.053567302679703,0.00471973817043969,0.0776513867229252,0.203590041918751,0.0322855363265559,0.045693156013296,0.0477925269376937,0.014762284895546,0.00641638778886646,0.0970261158945273,0.0202259709916529,0.139648961491093,0.00183001586942255,0.0514841643577068,0.0533948355116814,0.0790746885202647,0.0386924665630791,0.32299867760684,0.000579594613004792,0.0979753366943541,0.197742022093912,0.074407705534498,0.179427173238864,0.0264563128598496,0.101326720048841,0.0029559866250981,0.00196363772408945,0.00268219861347879,0.0154665370874669,0.0118532360117625,0.195012549012338,0.0106712355381185,0.0415099176201002,0.0153505345165825,0.00250264541720713,0.129314593561171,0.00156234694212215,0.023258634493202,0.0571916418916329,0.200389678679532,0.0279461563031229
"20","M","2",0.00764195930006368,0.039712918840035,0.00950948921151317,1.10930816272295e-05,0.016634178278384,0.000850717086488896,0.0143659089619279,0.0216469337817979,0.00276983687635851,0.0470199134148479,0.0105685274707825,0.00971898193152205,0.00446945688192105,0.0331307980297888,0.000946868290181891,0.204109975948846,0.00547625541532905,0.00209473413413378,0.0179987995758589,0.0191544579051669,0.0143003887197071,0.0152461462351803,0.00144500958403209,0.00235598366948878,0.00569137983628558,0.00734620564050896,0.00699641180398729,0.0153197323550261,0.0155980149717367,0.0264153692865324,0.00412678495537752,0.0032296804019135,0.00224866907833676,0.00215944796556969,0.0153375666619294,0.00140185116120297,0.00238710441596865,0.00963829564824657,0.000974189178258084,0.038989839485103,0.000815257840212843,0.00237877209600098,0.00720625797747619,0.0687318699684802,0.00473384626377119
"21","C","4",0.00246324752879888,6.32102719391852e-07,0.00216495548421593,6.37099655490398e-06,0.00145613706852335,0.000300130862880668,0.00566664419555568,0.0263841842132542,0.00069532724255049,0.0190945792023408,0.00657692331647689,0.0231887248030075,0.00156934681813342,0.0276328336717666,0.000758289206955134,0.00971425685815912,0.00184101716452968,0.00156534316892256,0.00203012474222446,0.0144947643145384,0.0128564299208469,0.0233432935062704,3.22992419747954e-05,0.00205979629693194,0.00189173441313071,0.00426496652467183,0.0023255723578127,0.000547291924111509,0.00993029447724073,0.0022241911767991,0.00214971041685374,0.00174891307915064,0.00338175565107011,0.00319597352086882,0.00375763397895045,0.00218453748982089,0.00136169577176614,0.0146768581919968,0.000265311446417451,0.0512378916671623,0.00131220665212128,0.00196407459600895,0.016989198552638,0.0401471713650701,0.00275424742019186
