Tr;Time;RI_mz;N;mean;sd;se
64;C;4;X.Gluconic.acid..6TMS.;5;0.00293105665571498;0.00173410506045153;0.000775515359059199
65;C;4;X.myo.Inositol..6TMS.;5;0.109300248849937;0.0663928845633493;0.0296918006211891
66;C;4;X.Sucrose..8TMS.;5;0.00378546514558776;0.00255773129870011;0.00114385221041445
67;C;4;X.Trehalose..8TMS.;5;0.0415257433579584;0.0176285658246731;0.00788373430595975
68;C;4;X.Maltose..1MEOX...8TMS..MP;5;0.189433385628538;0.0905121757629485;0.0404782755594723
69;C;4;X.Melibiose..1MEOX...8TMS..BP;5;0.149368677403803;0.088351504483134;0.039511993987733
70;C;4;X.Galactinol..9TMS.;5;0.0250346985297499;0.0127162608822141;0.00568688475045043
71;C;6;X.Pyruvic.acid..1TMS.;5;0.255031578849224;0.103668585653536;0.0463620009305132
72;C;6;X.Lactic.Acid..2TMS.;5;0.163844324649043;0.114602345203195;0.051251726851048
73;C;6;X.Valine..1TMS.;5;0.15132970001755;0.0474412786013014;0.0212163847784032
74;C;6;X.Alanine..2TMS.;5;0.00329636205538942;0.000724674339038378;0.000324084216727908
75;C;6;X.Leucine..2TMS.;5;0.0795654817533832;0.0389490904473769;0.0174185627804245
76;C;6;X.Threonine..2TMS.;5;0.318156195481405;0.0994353085438023;0.0444688218535215
77;C;6;X.Proline..2TMS.;5;0.0359945641039503;0.0207149950182568;0.00926402740287834
78;C;6;X.Succinic.acid..2TMS.;5;0.0479572613664977;0.0214933107063989;0.00961210076020638
79;C;6;X.Glycine..3TMS.;5;0.165156957302313;0.0856790780528158;0.0383168485551213
80;C;6;X.Fumaric.acid..2TMS.;5;0.0162039455533915;0.00412437861038489;0.00184447818755335
81;C;6;X.Serine..3TMS.;5;0.156580951860948;0.10770038648325;0.0481650770759093
82;C;6;X.Methionine..1TMS.;5;0.232317910176624;0.158292136789463;0.0707903956329868
83;C;6;X.Aspartic.acid..2TMS.;5;0.0414681175616212;0.0230846372600553;0.0103237636298816
84;C;6;X.Glutamine...H2O...2TMS.;5;0.0493309213194047;0.0108641595453063;0.00485859985234162
85;C;6;X.Malic.acid..3TMS.;5;0.00121576360720535;0.000503231136259848;0.000225051805814296
86;C;6;X.Glutamic.acid..2TMS.;5;0.143619179455376;0.048426533229667;0.0216570040432376
87;C;6;X.2.Oxoglutaric.acid..1MEOX...2TMS..BP;5;0.0504466604997056;0.0432318889600774;0.0193338885020912
88;C;6;X.Threonic.acid..4TMS.;5;0.167335846948064;0.11371216184079;0.0508536247488928
89;C;6;X.Phenylalanine..2TMS.;5;0.302721743991613;0.157203541591597;0.0703035610605053
90;C;6;X.Asparagine..3TMS.;5;0.136909673268906;0.0486266850039131;0.0217465146378439
91;C;6;X.Putrescine..4TMS.;5;0.231529224260127;0.0737775754236995;0.032994334772502
92;C;6;X.Ornithine..4TMS.;5;0.163155571490534;0.0792065290151639;0.0354222366279432
93;C;6;X.Citric.acid..4TMS.;5;0.0043479956020639;0.00231716187555051;0.00103626629372037
94;C;6;X.Fructose..1MEOX...5TMS..MP;5;0.0607387511020727;0.114303144935509;0.0511179204235619
95;C;6;X.Galactose..1MEOX...5TMS..MP;5;0.0422897901527328;0.0275630833722328;0.0123265856179613
96;C;6;X.Lysine..4TMS.;5;0.236323833330482;0.0627822679427851;0.0280770837803347
97;C;6;X.Tyrosine..3TMS.;5;0.106247549230949;0.0604465404043368;0.0270325146697569
98;C;6;X.Glucose..1MEOX...5TMS..BP;5;0.12785458927337;0.0843045645598035;0.0377021474338481
