"Tr","Time","Pyruvic.acid..1TMS.","Lactic.Acid..2TMS.","Valine..1TMS.","Leucine..2TMS.","Threonine..2TMS.","Proline..2TMS.","Succinic.acid..2TMS.","Glycine..3TMS.","Methionine..1TMS.","Glutamine...H2O...2TMS.","Glutamic.acid..2TMS.","X2.Oxoglutaric.acid..1MEOX...2TMS..BP","Threonic.acid..4TMS.","Phenylalanine..2TMS.","Asparagine..3TMS.","Ornithine..4TMS.","Lysine..4TMS.","Glucose..1MEOX...5TMS..BP","Gluconic.acid..6TMS.","Trehalose..8TMS.","Maltose..1MEOX...8TMS..MP","Melibiose..1MEOX...8TMS..BP","Galactinol..9TMS."
"P","4","0.28619757","0.39152050","0.30772814","0.30331560","0.4199603","0.12355874","0.43095055","0.45082113","0.50477268","0.24406556","0.57651633","0.12689616","0.22045031","0.35551441","0.27082368","0.60005357","0.37076087","0.28745162","0.0047908726","0.17493031","0.26741922","0.55112828","0.202167973"
"P","4","0.27773581","0.23333245","0.17169867","0.13425582","0.3075260","0.05261541","0.10617809","0.19605754","0.21285042","0.04316657","0.26017416","0.07636166","0.11228641","0.25056782","0.30561236","0.32021357","0.24641273","0.22964773","0.0064768986","0.06931662","0.14186316","0.07673064","0.016641962"
"C","2","0.09754698","0.12690481","0.14673979","0.08959079","0.2535373","0.04122078","0.10133556","0.13159145","0.36326991","0.07628926","0.21044569","0.07342754","0.42165857","0.09587252","0.36934655","0.24557195","0.24409136","0.36963714","0.0163838665","0.07430528","0.42376098","0.28492688","0.056495233"
"P","4","0.31600951","0.36354388","0.21405934","0.21532568","0.4150464","0.08881092","0.19283806","0.32452393","0.30813031","0.04466338","0.34663982","0.08916774","0.10321249","0.20227786","0.19716499","0.50226668","0.28117337","0.12821183","0.0040254169","0.10444337","0.19810702","0.11618666","0.044367006"
"F","4","0.10475299","0.10050644","0.04974588","0.05407059","0.1457704","0.01911098","0.06651709","0.03788209","0.12518535","0.01781534","0.16981857","0.09442239","0.10448645","0.03870444","0.07114598","0.13001433","0.09205482","0.02428055","0.0082578201","0.04468955","0.41450523","0.07786566","0.043240950"
"F","4","0.10878518","0.15299789","0.08593203","0.10288651","0.1926838","0.02160418","0.06371001","0.00868239","0.14306954","0.01488000","0.12369301","0.03447631","0.27893387","0.02429733","0.07973759","0.19132705","0.06304014","0.04556365","0.0125561071","0.05931338","0.28215317","0.08518678","0.010657553"
"F","4","0.25270415","0.09303726","0.06270900","0.05840274","0.3020929","0.01896630","0.44123153","0.09742458","0.38004510","0.03801988","0.11125929","0.23057524","0.47819467","0.18597244","0.43684071","0.16444606","0.30983913","0.12670667","0.6750364973","0.03764216","0.25226982","0.05312508","0.254346153"
"F","4","0.11065310","0.14352892","0.08147302","0.08034905","0.1807366","0.02891035","0.10818085","0.06140374","0.24261180","0.01906463","0.16126453","0.14311106","0.49666419","0.08267147","0.46564951","0.19353136","0.20774745","0.28533223","0.0169454035","0.09346726","0.29722698","0.15404528","0.370256599"
"F","4","0.10836760","0.21810550","0.15294410","0.10756532","0.2661859","0.04699573","0.12490508","0.11869889","0.31629278","0.04420890","0.21025420","0.14511442","0.09559174","0.11019718","0.08769139","0.25633610","0.16060550","0.08197485","0.0024302679","0.05538548","0.14539881","0.06413837","0.235962324"
"M","4","0.40953886","0.45092030","0.45030568","0.25296545","0.5939830","0.09261073","0.37650369","0.42957273","0.92668144","0.08732085","0.58125746","0.09879352","0.37127932","0.16526972","0.30479698","0.64749199","0.33578023","0.32921946","0.0100082420","0.18049412","0.44054898","0.46639638","0.255852053"
"M","4","1.00000000","0.59537101","0.25261255","0.22854477","0.5394698","0.09194021","0.22084146","0.44908940","0.44680788","0.09252709","0.26231853","0.12302367","0.27734093","0.35381584","0.20222621","0.28533795","0.47198131","0.18157962","0.0039990611","0.09424247","0.08828748","0.05706803","0.011898311"
"M","4","0.28981175","0.49509100","0.43634114","0.29316422","0.5356811","0.09592789","0.26815410","0.80860773","0.40585727","0.10355767","0.44737140","0.12556869","0.08725429","0.40839770","0.31677901","0.47665695","0.41885095","0.06092716","0.0027397758","0.38271506","0.23464950","0.29991697","0.037591437"
"M","4","0.49736078","0.57046024","0.39612031","0.40520351","0.4066976","0.23499101","0.20520395","0.46463016","0.47346359","0.02197056","0.37229471","0.09581957","0.07548775","0.31273441","0.27148707","0.36047432","0.29785345","0.10833983","0.0029019818","0.12342619","0.14679455","0.05205768","0.003045190"
"C","2","0.09345304","0.08658680","0.07084584","0.03862703","0.1358758","0.01344950","0.03284639","0.09154174","0.14627961","0.02809235","0.10676845","0.06716465","0.24985547","0.11672919","0.14655010","0.11328020","0.13266697","0.08173818","0.0038681674","0.04370633","0.17568667","0.06191849","0.016933496"
"M","4","0.58755337","0.68367496","0.53617320","0.23229282","0.3462278","0.11859227","0.18934415","0.61420838","0.36051583","0.06260060","0.35664561","0.10698956","0.06722859","0.32573646","0.16616178","0.47327460","0.37127297","0.07021197","0.0014821884","0.13625657","0.11376189","0.09723496","0.034218382"
"C","6","0.26054402","0.04798024","0.07005450","0.03042368","0.2349935","0.01512086","0.02471942","0.05642949","0.15357737","0.03642842","0.10263451","0.02481145","0.20863539","0.17685171","0.10807205","0.08127632","0.17998564","0.20986379","0.0084510075","0.04298173","0.56857061","0.15115662","0.029746912"
"C","6","0.23728572","0.06836385","0.16266241","0.05171144","0.2132896","0.02357424","0.02460764","0.12219188","0.13445244","0.04448121","0.08304598","0.02807742","0.13681678","0.43924787","0.07203068","0.07805117","0.21990101","0.01917981","0.0015096762","0.02406756","0.04800506","0.02132649","0.005583356"
"C","6","0.17032159","0.16191044","0.15815094","0.08224081","0.3004747","0.03150614","0.05844093","0.16379354","0.15329178","0.04514711","0.16262356","0.03229469","0.07589171","0.20735131","0.16966900","0.18826470","0.21532232","0.05679738","0.0007261201","0.03432572","0.09369942","0.05042550","0.009199887"
"C","6","0.42753676","0.21029138","0.19361264","0.12408899","0.4301055","0.06889588","0.06530289","0.28630016","0.20925513","0.06376497","0.19636230","0.03993240","0.07079289","0.50583554","0.19464870","0.24914391","0.34438509","0.18260340","0.0012420622","0.05989988","0.32792279","0.12448575","0.032515340"
"C","6","0.17946981","0.33067572","0.17216801","0.10936249","0.4119176","0.04087569","0.06671543","0.19706972","0.51101283","0.05683289","0.17342954","0.12711735","0.34454246","0.18432230","0.14012793","0.21904175","0.22202510","0.17082856","0.0071298275","0.06743597","0.43696499","0.28879426","0.210450735"
"P","6","0.71738873","0.75910830","0.15248582","1.00000000","0.5561974","1.00000000","0.35871057","1.00000000","0.73072607","0.10162810","0.48598790","0.11489966","0.17117113","0.82472471","0.29122386","0.54733505","0.51019168","0.55128000","0.0033550802","0.14077581","0.21976608","0.15802268","0.020803365"
"P","6","0.96296546","1.00000000","0.70799804","0.52197382","1.0000000","0.14963395","0.52941170","0.69872381","1.00000000","0.24685072","0.70791080","0.22043780","0.67244127","0.53970952","0.75660265","1.00000000","1.00000000","0.55865889","0.0134724918","0.31982243","0.42539303","0.35576010","0.276733971"
"P","6","0.73648816","0.59290018","0.40466647","0.33908286","0.4594038","0.11691641","0.32266316","0.49120194","0.38489128","0.17160681","0.51409339","0.11443397","0.03880560","0.32787230","0.22096202","0.44201501","0.39800087","0.07360543","0.0010191680","0.11276339","0.20851803","0.32370393","0.009609750"
"C","2","0.10793053","0.05113965","0.08480163","0.03394445","0.1298461","0.01344911","0.10478159","0.09143350","0.17544017","0.03190833","0.08612691","0.09658584","0.28691686","0.15742879","0.15397630","0.08351394","0.18191641","0.07947843","0.2269026751","0.03447807","0.39158075","0.26281885","0.163446617"
"P","6","0.46495631","0.45700950","0.15089837","0.16223909","0.3310617","0.05825351","0.17228410","0.17388160","0.20048651","0.04077681","0.25573809","0.08742276","0.03170388","0.08025313","0.26428163","0.39401437","0.18263288","0.07769707","0.0005774534","0.09339991","0.12658505","0.12114161","0.012028218"
"F","6","0.10455355","0.09106629","0.10084228","0.05942311","0.2725278","0.03190391","0.06938805","0.07556127","0.13421577","0.03574936","0.16860533","0.07255757","0.05062297","0.09064961","0.08567244","0.14308836","0.14241999","0.03733115","0.0054324226","0.03210665","0.28956983","0.10903745","0.028262076"
"F","6","0.17091071","0.17601764","0.21112683","0.10024974","0.2427912","0.03430909","0.08007537","0.13247626","0.15496776","0.03247236","0.22194512","0.03249338","0.05338802","0.14903281","0.10123631","0.22087666","0.34164860","0.03581596","0.0136893926","0.04319782","0.52359676","0.14035554","0.011278042"
